CODIGO_MUNICIPIO;MUNICIPIO;CODIGO_UF;2025/Jan;2025/Fev;2025/Mar;2025/Abr;2025/Mai;2025/Jun;2025/Jul;2025/Ago;2025/Set;2025/Out;2025/Nov;2025/Dez;Total
110001;ALTA FLORESTA D'OESTE;11;190;188;175;181;213;198;183;168;145;173;142;132;2088
110002;ARIQUEMES;11;415;382;474;494;529;488;616;431;421;482;388;411;5531
110003;CABIXI;11;11;0;10;19;21;16;15;15;12;23;16;10;168
110004;CACOAL;11;1593;1325;1417;1433;1240;1257;1551;1388;1300;1369;1257;1193;16323
110005;CEREJEIRAS;11;57;85;130;152;153;110;84;83;68;92;100;126;1240
110006;COLORADO DO OESTE;11;52;26;59;53;77;66;48;49;78;93;64;180;845
110007;CORUMBIARA;11;0;0;0;0;0;0;0;0;0;15;20;36;71
110008;COSTA MARQUES;11;14;11;9;20;30;26;23;45;19;35;19;29;280
110009;ESPIGAO D'OESTE;11;123;131;131;145;130;133;111;137;102;109;117;120;1489
110010;GUAJARA-MIRIM;11;120;99;118;89;146;117;211;288;633;707;689;360;3577
110011;JARU;11;239;249;282;265;320;267;266;238;193;201;200;239;2959
110012;JI-PARANA;11;1142;998;1072;1249;1224;987;1125;932;927;912;833;847;12248
110013;MACHADINHO D'OESTE;11;259;227;245;297;344;315;267;309;291;317;269;305;3445
110014;NOVA BRASILANDIA D'OESTE;11;53;75;82;97;100;111;109;87;103;81;70;67;1035
110015;OURO PRETO DO OESTE;11;226;197;220;269;296;242;263;275;228;273;227;225;2941
110018;PIMENTA BUENO;11;237;230;297;312;370;335;305;298;284;383;311;298;3660
110020;PORTO VELHO;11;3708;3613;3550;3732;3966;3698;4455;4539;4351;4517;4191;4149;48469
110025;PRESIDENTE MEDICI;11;86;105;94;114;105;89;133;107;82;83;85;78;1161
110026;RIO CRESPO;11;3;1;5;4;0;12;5;7;14;4;1;7;63
110028;ROLIM DE MOURA;11;280;293;334;326;476;386;356;352;347;374;320;329;4173
110029;SANTA LUZIA D'OESTE;11;23;22;49;81;53;28;60;31;42;44;35;30;498
110030;VILHENA;11;868;1056;956;1044;796;973;1217;1356;1354;1303;1531;1288;13742
110032;SAO MIGUEL DO GUAPORE;11;111;98;111;105;109;100;87;90;93;76;80;104;1164
110033;NOVA MAMORE;11;57;36;52;61;71;76;57;44;76;53;47;52;682
110034;ALVORADA D'OESTE;11;36;61;55;67;68;79;78;71;50;54;65;75;759
110037;ALTO ALEGRE DOS PARECIS;11;39;31;46;48;64;47;46;49;48;66;40;59;583
110040;ALTO PARAISO;11;21;22;29;36;29;29;24;18;30;24;17;19;298
110045;BURITIS;11;84;153;99;141;73;157;34;148;129;121;76;90;1305
110050;NOVO HORIZONTE DO OESTE;11;20;23;38;40;48;32;29;22;15;15;29;21;332
110060;CACAULANDIA;11;6;6;10;7;10;6;6;17;9;9;8;9;103
110070;CAMPO NOVO DE RONDONIA;11;10;11;8;8;11;7;10;6;5;7;9;6;98
110080;CANDEIAS DO JAMARI;11;16;3;8;14;26;21;21;28;13;26;19;26;221
110090;CASTANHEIRAS;11;0;0;0;0;0;0;0;0;0;0;0;0;0
110092;CHUPINGUAIA;11;0;0;0;0;0;0;0;0;0;0;0;0;0
110094;CUJUBIM;11;68;85;117;127;130;131;95;116;167;131;216;86;1469
110100;GOVERNADOR JORGE TEIXEIRA;11;2;2;4;4;9;13;13;4;4;4;6;10;75
110110;ITAPUA DO OESTE;11;5;6;12;9;14;8;16;5;12;17;13;13;130
110120;MINISTRO ANDREAZZA;11;23;15;20;14;20;24;19;23;18;20;19;23;238
110130;MIRANTE DA SERRA;11;17;30;35;21;18;30;35;19;35;29;30;17;316
110140;MONTE NEGRO;11;70;47;52;50;66;53;75;47;77;92;147;71;847
110143;NOVA UNIAO;11;4;8;12;10;15;14;7;11;10;7;7;5;110
110145;PARECIS;11;54;27;26;27;17;74;77;72;53;50;31;36;544
110146;PIMENTEIRAS DO OESTE;11;7;4;10;12;12;11;13;11;11;6;17;10;124
110147;PRIMAVERA DE RONDONIA;11;0;0;0;0;0;0;0;0;0;0;0;0;0
110148;SAO FELIPE D'OESTE;11;1;4;4;5;16;17;10;19;7;5;5;7;100
110149;SAO FRANCISCO DO GUAPORE;11;112;75;88;103;139;175;162;180;159;116;132;118;1559
110150;SERINGUEIRAS;11;93;74;107;113;112;111;122;112;106;112;129;0;1191
110155;TEIXEIROPOLIS;11;11;11;10;26;8;5;6;4;6;6;6;9;108
110160;THEOBROMA;11;6;11;20;15;13;20;16;7;5;17;5;6;141
110170;URUPA;11;53;48;48;57;78;91;78;62;66;58;78;79;796
110175;VALE DO ANARI;11;7;6;15;24;25;26;19;27;33;25;21;24;252
110180;VALE DO PARAISO;11;5;9;17;31;34;24;53;25;28;30;22;23;301
120001;ACRELANDIA;12;38;19;32;30;49;28;35;31;29;49;28;24;392
120005;ASSIS BRASIL;12;38;46;49;69;88;40;43;46;40;46;37;58;600
120010;BRASILEIA;12;259;228;256;323;247;247;221;271;243;288;255;212;3050
120013;BUJARI;12;0;0;0;0;0;0;0;0;0;0;0;0;0
120017;CAPIXABA;12;0;0;0;0;0;0;0;0;0;0;0;0;0
120020;CRUZEIRO DO SUL;12;997;908;1267;1451;1179;1685;1208;1063;1038;1070;891;1000;13757
120025;EPITACIOLANDIA;12;0;0;0;0;0;0;0;0;0;0;0;0;0
120030;FEIJO;12;53;122;128;88;94;101;104;81;58;101;135;100;1165
120032;JORDAO;12;0;0;0;0;0;0;0;0;0;0;0;0;0
120033;MANCIO LIMA;12;36;27;41;40;53;89;50;101;84;67;64;65;717
120034;MANOEL URBANO;12;54;33;40;42;57;41;48;32;0;0;0;94;441
120035;MARECHAL THAUMATURGO;12;66;65;60;77;76;61;56;56;56;61;0;42;676
120038;PLACIDO DE CASTRO;12;29;74;53;66;72;46;92;40;129;33;49;42;725
120039;PORTO WALTER;12;32;32;11;12;47;44;50;50;20;49;38;41;426
120040;RIO BRANCO;12;2209;2191;2765;3008;2913;2888;2553;2661;2830;3131;2474;2316;31939
120042;RODRIGUES ALVES;12;17;29;41;36;48;33;27;36;0;38;44;33;382
120043;SANTA ROSA DO PURUS;12;7;12;14;0;36;36;0;21;14;7;17;20;184
120045;SENADOR GUIOMARD;12;373;168;227;217;210;200;224;211;141;185;170;100;2426
120050;SENA MADUREIRA;12;111;111;117;124;123;141;131;117;147;155;158;133;1568
120060;TARAUACA;12;179;130;188;231;201;229;197;198;170;217;193;199;2332
120070;XAPURI;12;39;45;57;60;83;63;65;76;48;64;51;48;699
120080;PORTO ACRE;12;0;0;0;0;0;0;0;0;0;0;0;0;0
130002;ALVARAES;13;69;75;83;190;76;113;100;89;91;67;155;64;1172
130006;AMATURA;13;58;75;67;61;92;97;109;98;78;93;126;77;1031
130008;ANAMA;13;97;81;89;93;98;122;146;131;116;126;130;169;1398
130010;ANORI;13;277;130;190;171;136;71;89;101;59;78;102;73;1477
130014;APUI;13;66;76;22;82;63;132;114;96;82;107;68;96;1004
130020;ATALAIA DO NORTE;13;70;101;81;82;67;106;73;88;89;133;95;64;1049
130030;AUTAZES;13;122;96;128;150;111;114;104;119;107;177;152;153;1533
130040;BARCELOS;13;71;67;59;79;82;73;52;90;68;80;80;75;876
130050;BARREIRINHA;13;116;116;162;113;146;104;107;127;110;116;133;121;1471
130060;BENJAMIN CONSTANT;13;200;200;204;252;259;230;238;240;205;205;201;201;2635
130063;BERURI;13;95;99;91;79;61;112;109;93;100;102;101;110;1152
130068;BOA VISTA DO RAMOS;13;70;69;70;83;86;90;89;122;84;68;71;54;956
130070;BOCA DO ACRE;13;91;89;106;193;149;131;130;138;109;126;125;153;1540
130080;BORBA;13;159;111;128;130;162;116;119;143;199;129;0;0;1396
130083;CAAPIRANGA;13;44;44;39;37;56;53;66;41;40;58;44;54;576
130090;CANUTAMA;13;59;47;53;68;82;66;58;60;51;51;53;43;691
130100;CARAUARI;13;148;142;139;126;136;148;267;125;239;209;156;162;1997
130110;CAREIRO;13;143;118;129;156;139;128;148;147;149;119;114;115;1605
130115;CAREIRO DA VARZEA;13;0;0;0;0;3;2;4;9;4;8;6;0;36
130120;COARI;13;464;395;410;303;413;492;394;430;379;418;374;426;4898
130130;CODAJAS;13;94;95;104;104;113;108;107;106;102;101;114;130;1278
130140;EIRUNEPE;13;157;157;166;188;194;194;202;229;153;229;155;153;2177
130150;ENVIRA;13;124;79;73;34;81;81;109;99;80;68;91;122;1041
130160;FONTE BOA;13;110;134;128;101;165;168;94;119;147;136;109;98;1509
130165;GUAJARA;13;19;14;34;32;36;46;17;12;10;19;16;11;266
130170;HUMAITA;13;237;183;179;240;217;177;162;213;312;148;175;218;2461
130180;IPIXUNA;13;176;178;135;153;171;180;170;188;179;183;161;146;2020
130185;IRANDUBA;13;42;92;57;66;41;55;33;28;27;27;28;48;544
130190;ITACOATIARA;13;372;475;438;481;480;428;497;512;517;506;542;514;5762
130195;ITAMARATI;13;103;76;73;85;68;64;44;53;0;50;0;0;616
130200;ITAPIRANGA;13;27;16;29;34;70;41;55;40;39;60;86;64;561
130210;JAPURA;13;42;55;50;47;29;43;66;37;49;36;65;50;569
130220;JURUA;13;0;0;0;48;26;28;0;25;38;30;46;39;280
130230;JUTAI;13;159;146;165;158;136;123;156;141;125;124;113;134;1680
130240;LABREA;13;56;9;117;264;227;142;191;272;273;160;226;171;2108
130250;MANACAPURU;13;551;540;610;688;638;644;644;592;638;617;585;628;7375
130255;MANAQUIRI;13;52;49;69;79;94;61;104;120;101;85;66;56;936
130260;MANAUS;13;13974;11354;11799;11458;11494;13791;15916;15311;14406;16396;13092;13210;162201
130270;MANICORE;13;140;183;123;205;215;197;141;148;123;187;189;184;2035
130280;MARAA;13;51;49;65;53;48;63;42;32;44;49;0;0;496
130290;MAUES;13;211;231;224;209;233;245;261;255;244;291;249;244;2897
