Codigo_Municipio;Municipio;Mes;Internacoes
350010;ADAMANTINA;01/2024;365.0
350010;ADAMANTINA;02/2024;402.0
350010;ADAMANTINA;03/2024;403.0
350010;ADAMANTINA;04/2024;468.0
350010;ADAMANTINA;05/2024;435.0
350010;ADAMANTINA;06/2024;484.0
350010;ADAMANTINA;07/2024;470.0
350010;ADAMANTINA;08/2024;470.0
350010;ADAMANTINA;09/2024;453.0
350010;ADAMANTINA;10/2024;420.0
350010;ADAMANTINA;11/2024;415.0
350010;ADAMANTINA;12/2024;391.0
350030;AGUAI;01/2024;5.0
350030;AGUAI;02/2024;23.0
350030;AGUAI;03/2024;36.0
350030;AGUAI;04/2024;36.0
350030;AGUAI;05/2024;49.0
350030;AGUAI;06/2024;41.0
350030;AGUAI;07/2024;39.0
350030;AGUAI;08/2024;38.0
350030;AGUAI;09/2024;37.0
350030;AGUAI;10/2024;42.0
350030;AGUAI;11/2024;51.0
350030;AGUAI;12/2024;50.0
350050;AGUAS DE LINDOIA;01/2024;118.0
350050;AGUAS DE LINDOIA;02/2024;125.0
350050;AGUAS DE LINDOIA;03/2024;124.0
350050;AGUAS DE LINDOIA;04/2024;98.0
350050;AGUAS DE LINDOIA;05/2024;113.0
350050;AGUAS DE LINDOIA;06/2024;131.0
350050;AGUAS DE LINDOIA;07/2024;126.0
350050;AGUAS DE LINDOIA;08/2024;122.0
350050;AGUAS DE LINDOIA;09/2024;126.0
350050;AGUAS DE LINDOIA;10/2024;103.0
350050;AGUAS DE LINDOIA;11/2024;109.0
350050;AGUAS DE LINDOIA;12/2024;127.0
350070;AGUDOS;01/2024;79.0
350070;AGUDOS;02/2024;105.0
350070;AGUDOS;03/2024;111.0
350070;AGUDOS;04/2024;120.0
350070;AGUDOS;05/2024;122.0
350070;AGUDOS;06/2024;115.0
350070;AGUDOS;07/2024;94.0
350070;AGUDOS;08/2024;106.0
350070;AGUDOS;09/2024;102.0
350070;AGUDOS;10/2024;116.0
350070;AGUDOS;11/2024;91.0
350070;AGUDOS;12/2024;70.0
350100;ALTINOPOLIS;01/2024;158.0
350100;ALTINOPOLIS;02/2024;120.0
350100;ALTINOPOLIS;03/2024;155.0
350100;ALTINOPOLIS;04/2024;164.0
350100;ALTINOPOLIS;05/2024;169.0
350100;ALTINOPOLIS;06/2024;170.0
350100;ALTINOPOLIS;07/2024;138.0
350100;ALTINOPOLIS;08/2024;205.0
350100;ALTINOPOLIS;09/2024;154.0
350100;ALTINOPOLIS;10/2024;177.0
350100;ALTINOPOLIS;11/2024;180.0
350100;ALTINOPOLIS;12/2024;161.0
350110;ALTO ALEGRE;01/2024;11.0
350110;ALTO ALEGRE;02/2024;5.0
350110;ALTO ALEGRE;03/2024;11.0
350110;ALTO ALEGRE;04/2024;4.0
350130;ALVARES MACHADO;01/2024;49.0
350130;ALVARES MACHADO;02/2024;51.0
350130;ALVARES MACHADO;03/2024;64.0
350130;ALVARES MACHADO;04/2024;68.0
350130;ALVARES MACHADO;05/2024;72.0
350130;ALVARES MACHADO;06/2024;69.0
350130;ALVARES MACHADO;07/2024;68.0
350130;ALVARES MACHADO;08/2024;64.0
350130;ALVARES MACHADO;09/2024;88.0
350130;ALVARES MACHADO;10/2024;62.0
350130;ALVARES MACHADO;11/2024;53.0
350130;ALVARES MACHADO;12/2024;59.0
350160;AMERICANA;01/2024;616.0
350160;AMERICANA;02/2024;763.0
350160;AMERICANA;03/2024;867.0
350160;AMERICANA;04/2024;682.0
350160;AMERICANA;05/2024;704.0
350160;AMERICANA;06/2024;831.0
350160;AMERICANA;07/2024;685.0
350160;AMERICANA;08/2024;754.0
350160;AMERICANA;09/2024;751.0
350160;AMERICANA;10/2024;719.0
350160;AMERICANA;11/2024;626.0
350160;AMERICANA;12/2024;738.0
350170;AMERICO BRASILIENSE;01/2024;696.0
350170;AMERICO BRASILIENSE;02/2024;633.0
350170;AMERICO BRASILIENSE;03/2024;649.0
350170;AMERICO BRASILIENSE;04/2024;619.0
350170;AMERICO BRASILIENSE;05/2024;674.0
350170;AMERICO BRASILIENSE;06/2024;521.0
350170;AMERICO BRASILIENSE;07/2024;685.0
350170;AMERICO BRASILIENSE;08/2024;610.0
350170;AMERICO BRASILIENSE;09/2024;563.0
350170;AMERICO BRASILIENSE;10/2024;651.0
350170;AMERICO BRASILIENSE;11/2024;576.0
350170;AMERICO BRASILIENSE;12/2024;326.0
350190;AMPARO;01/2024;400.0
350190;AMPARO;02/2024;393.0
350190;AMPARO;03/2024;401.0
350190;AMPARO;04/2024;376.0
350190;AMPARO;05/2024;370.0
350190;AMPARO;06/2024;388.0
350190;AMPARO;07/2024;447.0
350190;AMPARO;08/2024;332.0
350190;AMPARO;09/2024;461.0
350190;AMPARO;10/2024;491.0
350190;AMPARO;11/2024;394.0
350190;AMPARO;12/2024;476.0
350210;ANDRADINA;01/2024;200.0
350210;ANDRADINA;02/2024;205.0
350210;ANDRADINA;03/2024;289.0
350210;ANDRADINA;04/2024;301.0
350210;ANDRADINA;05/2024;296.0
350210;ANDRADINA;06/2024;265.0
350210;ANDRADINA;07/2024;334.0
350210;ANDRADINA;08/2024;288.0
350210;ANDRADINA;09/2024;290.0
350210;ANDRADINA;10/2024;319.0
350210;ANDRADINA;11/2024;311.0
350210;ANDRADINA;12/2024;284.0
350220;ANGATUBA;01/2024;85.0
350220;ANGATUBA;02/2024;85.0
350220;ANGATUBA;03/2024;124.0
350220;ANGATUBA;04/2024;141.0
350220;ANGATUBA;05/2024;159.0
350220;ANGATUBA;06/2024;139.0
350220;ANGATUBA;07/2024;136.0
350220;ANGATUBA;08/2024;137.0
350220;ANGATUBA;09/2024;129.0
350220;ANGATUBA;10/2024;130.0
350220;ANGATUBA;11/2024;99.0
350220;ANGATUBA;12/2024;100.0
350250;APARECIDA;01/2024;220.0
350250;APARECIDA;02/2024;330.0
350250;APARECIDA;03/2024;317.0
350250;APARECIDA;04/2024;384.0
350250;APARECIDA;05/2024;602.0
350250;APARECIDA;06/2024;607.0
350250;APARECIDA;07/2024;488.0
350250;APARECIDA;08/2024;439.0
350250;APARECIDA;09/2024;334.0
350250;APARECIDA;10/2024;356.0
350250;APARECIDA;11/2024;320.0
350250;APARECIDA;12/2024;255.0
350260;APARECIDA D'OESTE;01/2024;3.0
350260;APARECIDA D'OESTE;02/2024;2.0
350260;APARECIDA D'OESTE;03/2024;3.0
350260;APARECIDA D'OESTE;04/2024;6.0
350260;APARECIDA D'OESTE;05/2024;4.0
350260;APARECIDA D'OESTE;06/2024;11.0
350260;APARECIDA D'OESTE;07/2024;5.0
350260;APARECIDA D'OESTE;08/2024;6.0
350260;APARECIDA D'OESTE;09/2024;12.0
350260;APARECIDA D'OESTE;10/2024;3.0
350260;APARECIDA D'OESTE;11/2024;8.0
350260;APARECIDA D'OESTE;12/2024;15.0
350270;APIAI;01/2024;213.0
350270;APIAI;02/2024;184.0
350270;APIAI;03/2024;252.0
350270;APIAI;04/2024;231.0
350270;APIAI;05/2024;243.0
350270;APIAI;06/2024;279.0
350270;APIAI;07/2024;257.0
350270;APIAI;08/2024;238.0
350270;APIAI;09/2024;280.0
350270;APIAI;10/2024;258.0
350270;APIAI;11/2024;232.0
350270;APIAI;12/2024;260.0
350280;ARACATUBA;01/2024;981.0
350280;ARACATUBA;02/2024;805.0
350280;ARACATUBA;03/2024;1140.0
350280;ARACATUBA;04/2024;1140.0
350280;ARACATUBA;05/2024;1279.0
350280;ARACATUBA;06/2024;1179.0
350280;ARACATUBA;07/2024;1017.0
350280;ARACATUBA;08/2024;1154.0
350280;ARACATUBA;09/2024;1044.0
350280;ARACATUBA;10/2024;1174.0
350280;ARACATUBA;11/2024;883.0
350280;ARACATUBA;12/2024;305.0
350310;ARANDU;01/2024;9.0
350310;ARANDU;02/2024;10.0
350310;ARANDU;03/2024;11.0
350310;ARANDU;04/2024;8.0
350310;ARANDU;06/2024;13.0
350310;ARANDU;07/2024;8.0
350310;ARANDU;08/2024;11.0
350310;ARANDU;09/2024;7.0
350310;ARANDU;10/2024;2.0
