Municipio;Mes;Leitos_Existentes;Leitos_SUS;UTI_Existente;UTI_SUS
ADAMANTINA;01/2024;206;146;10;8
ADAMANTINA;02/2024;206;146;10;8
ADAMANTINA;03/2024;206;146;10;8
ADAMANTINA;04/2024;206;146;10;8
ADAMANTINA;05/2024;206;146;10;8
ADAMANTINA;06/2024;206;146;10;8
ADAMANTINA;07/2024;206;146;10;8
ADAMANTINA;08/2024;206;146;10;8
ADAMANTINA;09/2024;206;146;10;8
ADAMANTINA;10/2024;206;146;10;8
ADAMANTINA;11/2024;206;146;10;8
ADAMANTINA;12/2024;206;146;10;8
AGUAI;01/2024;24;24;0;0
AGUAI;02/2024;24;24;0;0
AGUAI;03/2024;24;24;0;0
AGUAI;04/2024;24;24;0;0
AGUAI;05/2024;24;24;0;0
AGUAI;06/2024;24;24;0;0
AGUAI;07/2024;24;24;0;0
AGUAI;08/2024;24;24;0;0
AGUAI;09/2024;24;24;0;0
AGUAI;10/2024;24;24;0;0
AGUAI;11/2024;24;24;0;0
AGUAI;12/2024;24;24;0;0
AGUAS DE LINDOIA;01/2024;42;30;0;0
AGUAS DE LINDOIA;02/2024;42;30;0;0
AGUAS DE LINDOIA;03/2024;42;30;0;0
AGUAS DE LINDOIA;04/2024;42;30;0;0
AGUAS DE LINDOIA;05/2024;42;30;0;0
AGUAS DE LINDOIA;06/2024;42;30;0;0
AGUAS DE LINDOIA;07/2024;42;30;0;0
AGUAS DE LINDOIA;08/2024;42;30;0;0
AGUAS DE LINDOIA;09/2024;42;30;0;0
AGUAS DE LINDOIA;10/2024;42;30;0;0
AGUAS DE LINDOIA;11/2024;42;30;0;0
AGUAS DE LINDOIA;12/2024;42;30;0;0
AGUDOS;01/2024;54;38;0;0
AGUDOS;02/2024;54;38;0;0
AGUDOS;03/2024;54;38;0;0
AGUDOS;04/2024;54;38;0;0
AGUDOS;05/2024;54;38;0;0
AGUDOS;06/2024;54;38;0;0
AGUDOS;07/2024;54;38;0;0
AGUDOS;08/2024;54;38;0;0
AGUDOS;09/2024;54;38;0;0
AGUDOS;10/2024;54;38;0;0
AGUDOS;11/2024;54;38;0;0
AGUDOS;12/2024;54;38;0;0
ALTINOPOLIS;01/2024;21;19;0;0
ALTINOPOLIS;02/2024;21;19;0;0
ALTINOPOLIS;03/2024;21;19;0;0
ALTINOPOLIS;04/2024;21;19;0;0
ALTINOPOLIS;05/2024;21;19;0;0
ALTINOPOLIS;06/2024;21;19;0;0
ALTINOPOLIS;07/2024;21;19;0;0
ALTINOPOLIS;08/2024;21;19;0;0
ALTINOPOLIS;09/2024;21;19;0;0
ALTINOPOLIS;10/2024;21;19;0;0
ALTINOPOLIS;11/2024;21;19;0;0
ALTINOPOLIS;12/2024;21;19;0;0
ALTO ALEGRE;01/2024;22;19;0;0
ALTO ALEGRE;02/2024;22;19;0;0
ALTO ALEGRE;03/2024;22;19;0;0
ALTO ALEGRE;04/2024;22;19;0;0
ALTO ALEGRE;05/2024;22;19;0;0
ALTO ALEGRE;06/2024;22;19;0;0
ALTO ALEGRE;07/2024;22;19;0;0
ALTO ALEGRE;08/2024;22;19;0;0
ALTO ALEGRE;09/2024;22;19;0;0
ALTO ALEGRE;10/2024;22;19;0;0
ALTO ALEGRE;11/2024;22;19;0;0
ALTO ALEGRE;12/2024;22;19;0;0
ALVARES MACHADO;01/2024;18;16;0;0
ALVARES MACHADO;02/2024;18;16;0;0
ALVARES MACHADO;03/2024;18;16;0;0
ALVARES MACHADO;04/2024;18;16;0;0
ALVARES MACHADO;05/2024;18;16;0;0
ALVARES MACHADO;06/2024;18;16;0;0
ALVARES MACHADO;07/2024;18;16;0;0
ALVARES MACHADO;08/2024;18;16;0;0
ALVARES MACHADO;09/2024;18;16;0;0
ALVARES MACHADO;10/2024;18;16;0;0
ALVARES MACHADO;11/2024;18;16;0;0
ALVARES MACHADO;12/2024;18;16;0;0
AMERICANA;01/2024;530;177;78;23
AMERICANA;02/2024;530;177;78;23
AMERICANA;03/2024;530;177;78;23
