Codigo_Municipio;Codigo_IBGE;Municipio;Populacao
350010;35001058;ADAMANTINA;35642.0
350020;35002048;ADOLFO;4478.0
350030;35003038;AGUAÍ;32888.0
350070;35007098;AGUDOS;38879.0
350075;35007588;ALAMBARI;6330.0
350080;35008088;ALFREDO MARCONDES;4556.0
350090;35009078;ALTAIR;3479.0
350100;35010048;ALTINÓPOLIS;17156.0
350110;35011038;ALTO ALEGRE;3883.0
350115;35011528;ALUMÍNIO;17591.0
350150;35015098;ALVINLÂNDIA;2923.0
350160;35016088;AMERICANA;246655.0
350190;35019058;AMPARO;69717.0
350170;35017078;AMÉRICO BRASILIENSE;33757.0
350180;35018068;AMÉRICO DE CAMPOS;5975.0
350200;35020028;ANALÂNDIA;4684.0
350210;35021018;ANDRADINA;61473.0
350220;35022008;ANGATUBA;24512.0
350230;35023098;ANHEMBI;5766.0
350240;35024088;ANHUMAS;4108.0
350250;35025078;APARECIDA;33223.0
350260;35026068;APARECIDA D'OESTE;4124.0
350270;35027058;APIAÍ;24886.0
350300;35030008;ARAMINA;5526.0
350310;35031098;ARANDU;7050.0
350315;35031588;ARAPEÍ;2355.0
350320;35032088;ARARAQUARA;252318.0
350330;35033078;ARARAS;135331.0
350275;35027548;ARAÇARIGUAMA;22168.0
350280;35028048;ARAÇATUBA;207775.0
350290;35029038;ARAÇOIABA DA SERRA;33656.0
350335;35033568;ARCO-ÍRIS;2085.0
350340;35034068;AREALVA;8280.0
350350;35035058;AREIAS;3625.0
350360;35036048;AREIÓPOLIS;10257.0
350370;35037038;ARIRANHA;7653.0
350380;35038028;ARTUR NOGUEIRA;53157.0
350390;35039018;ARUJÁ;89943.0
350395;35039508;ASPÁSIA;1873.0
350400;35040088;ASSIS;104642.0
350410;35041078;ATIBAIA;166043.0
350420;35042068;AURIFLAMA;13873.0
350440;35044048;AVANHANDAVA;11438.0
350450;35045038;AVARÉ;96098.0
350430;35043058;AVAÍ;4519.0
350460;35046028;BADY BASSITT;28909.0
350470;35047018;BALBINOS;3963.0
350490;35049098;BANANAL;10109.0
350510;35051048;BARBOSA;5659.0
350520;35052038;BARIRI;32405.0
350530;35053028;BARRA BONITA;35159.0
350535;35053518;BARRA DO CHAPÉU;5256.0
350540;35054018;BARRA DO TURVO;6922.0
350550;35055008;BARRETOS;126600.0
350560;35056098;BARRINHA;33181.0
350570;35057088;BARUERI;330339.0
350500;35050058;BARÃO DE ANTONINA;3618.0
350580;35058078;BASTOS;21900.0
350590;35059068;BATATAIS;59873.0
350600;35060038;BAURU;391740.0
350610;35061028;BEBEDOURO;78210.0
350620;35062018;BENTO DE ABREU;2642.0
350630;35063008;BERNARDINO DE CAMPOS;11852.0
350635;35063598;BERTIOGA;66873.0
350640;35064098;BILAC;7455.0
350650;35065088;BIRIGUI;122988.0
350660;35066078;BIRITIBA MIRIM;30526.0
350670;35067068;BOA ESPERANÇA DO SUL;13135.0
350680;35068058;BOCAINA;11467.0
350690;35069048;BOFETE;10688.0
350700;35070018;BOITUVA;63415.0
350710;35071008;BOM JESUS DOS PERDÕES;22501.0
350715;35071598;BOM SUCESSO DE ITARARÉ;3610.0
350730;35073088;BORACÉIA;4823.0
350740;35074078;BORBOREMA;14415.0
350745;35074568;BOREBI;2787.0
350720;35072098;BORÁ;928.0
350750;35075068;BOTUCATU;150442.0
350760;35076058;BRAGANÇA PAULISTA;184634.0
350770;35077048;BRAÚNA;5466.0
350775;35077538;BREJO ALEGRE;2605.0
350780;35078038;BRODOWSKI;26167.0
350790;35079028;BROTAS;24423.0
350800;35080098;BURI;20674.0
350810;35081088;BURITAMA;17597.0
350820;35082078;BURITIZAL;4447.0
350480;35048008;BÁLSAMO;9854.0
350840;35084058;CABREÚVA;48473.0
350830;35083068;CABRÁLIA PAULISTA;4362.0
350860;35086038;CACHOEIRA PAULISTA;32482.0
350870;35087028;CACONDE;17266.0
350880;35088018;CAFELÂNDIA;16905.0
350890;35089008;CAIABU;3745.0
350900;35090078;CAIEIRAS;98257.0
